Period,Num workers - start,Num workers - end,Num workers - hired,Production,Sales,Sales price per unit,Stock - starting (units),Resources stock - start (units),Resources consumed (units),Resources stock - end (units),Resources consumed (dollars),Wages,Profit,Resources bought - units,Resources bought - dollars,Resources spot price,Cash - start,Cash - end
32,227,242,15,227000.0,4216853.511703375,18.576447188120593,0.0,19363.636363636364,5159.090909090909,20636.363636363636,1962736.0493757261,1021500,1232617.4623276487,6431.81818181818,2446935.2509838343,380.4422298349425,32843101.2253134,33591519.48603294
33,242,258,16,242000.0,3723702.9038755964,15.387202082130564,0.0,20636.363636363636,5500.0,22000.0,2192591.0002866155,1089000,442111.9035889809,6863.636363636364,2736208.6036634627,398.652909143021,33591519.48603294,33490013.786245074
34,258,258,0,258000.0,3234260.3222600045,12.535892721938001,0.0,22000.0,5863.636363636364,23454.545454545456,2075491.9842565043,1161000,-2231.661996499868,7318.18181818182,2590342.7090333123,353.959873284055,33490013.786245074,32972931.399471767
35,258,258,0,258000.0,2694102.261562996,10.44225682776355,0.0,23454.545454545456,5863.636363636364,23454.545454545456,1897571.6216515638,1161000,-364469.3600885677,5863.636363636364,1897571.6216515638,323.6168657080186,32972931.399471767,32608462.0393832
36,258,232,-26,258000.0,2394571.9233724577,9.281286524699448,0.0,23454.545454545456,5863.636363636364,23454.545454545456,1711482.7618424743,1161000,-477910.8384700166,5863.636363636364,1711482.7618424743,291.8807810894142,32608462.0393832,32130551.200913183
37,232,208,-24,232000.0,1982143.1362397757,8.54372041482662,0.0,23454.545454545456,5272.727272727273,21090.909090909092,1394425.0871080144,1044000,-456281.9508682387,2909.090909090908,769337.9790940767,264.4599303135889,32130551.200913183,32299356.35805888
38,208,187,-21,208000.0,1723423.1016065606,8.28568798849308,0.0,21090.909090909092,4727.272727272727,18909.090909090908,1035163.6216395295,936000,-247740.52003296884,2545.454545454544,557395.7962674387,218.97691996220817,32299356.35805888,32529383.663398
39,187,168,-19,187000.0,1553581.2364565972,8.30792105057004,0.0,18909.090909090908,4250.0,17000.0,791221.9478148825,841500,-79140.71135828528,2340.909090909092,435806.74130980176,186.16987007409,32529383.663398,32805658.158544797
40,168,179,11,168000.0,1441655.5008559863,8.581282743190394,0.0,17000.0,3818.181818181818,15272.727272727272,619034.5880930409,756000,66620.9127629454,2090.90909090909,338995.13157476037,162.12810640532024,32805658.158544797,33152318.527826022
41,179,190,11,179000.0,1649339.2449780747,9.214185726134495,0.0,15272.727272727272,4068.181818181818,16272.727272727272,584754.9909255898,805500,259084.25405248487,5068.181818181818,728493.6479128856,143.73865698729583,33152318.527826022,33267664.12489121
42,190,202,12,190000.0,1875060.170231563,9.868737738060858,0.0,16272.727272727272,4318.181818181818,17272.727272727272,595387.7645829098,855000,424672.4056486533,5318.181818181818,733267.0363810572,137.87927179814753,33267664.12489121,33554457.258741714
43,202,215,13,202000.0,2111403.0220654,10.452490208244555,0.0,17272.727272727272,4590.909090909091,18363.636363636364,611523.9446904133,909000,590879.0773749868,5681.818181818184,756836.5652109078,133.20323547711973,33554457.258741714,34000023.71559621
44,215,229,14,215000.0,2323896.385032799,10.80882039550139,0.0,18363.636363636364,4886.363636363636,19545.454545454544,649765.8860576723,967500,706630.4989751268,6068.181818181816,806918.565476272,132.97534412343063,34000023.71559621,34549501.53515273
45,229,244,15,229000.0,2472894.017580396,10.798663832228804,0.0,19545.454545454544,5204.545454545455,20818.18181818182,694653.45252242,1030500,747740.565057976,6477.272727272732,864525.0391654577,133.47053236238636,34549501.53515273,35127370.51356767
46,244,260,16,244000.0,2538165.3190803104,10.402316881476683,0.0,20818.18181818182,5545.454545454545,22181.81818181818,744419.5758588617,1098000,695745.7432214487,6909.0909090909045,927473.5699225157,134.23959564668,35127370.51356767,35640062.262725465
47,260,277,17,260000.0,2532849.6366931596,9.741729371896767,0.0,22181.81818181818,5909.090909090909,23636.363636363636,799084.6075979915,1170000,563765.0290951681,7363.636363636364,995782.357160574,135.22970282427548,35640062.262725465,36007129.54225805
48,277,295,18,277000.0,2490401.0122363833,8.990617372694524,0.0,23636.363636363636,6295.454545454545,25181.81818181818,843593.4372166888,1246500,400307.5750196945,7840.909090909088,1050684.9669305326,134.00040157954624,36007129.54225805,36200345.5875639
49,295,314,19,295000.0,2442384.5888023567,8.279269792550362,0.0,25181.81818181818,6704.545454545455,26818.18181818182,891420.6795336859,1327500,223463.90926867083,8340.909090909096,1108987.760640213,132.95766067621076,36200345.5875639,36206242.41572605
50,314,334,20,314000.0,2407977.3531569224,7.668717685213129,0.0,26818.18181818182,7136.363636363636,28545.454545454544,942663.6631625785,1413000,52313.689994343906,8863.63636363636,1170824.2950108454,132.09299738583903,36206242.41572605,36030395.47387213
