Period,Num workers - start,Num workers - end,Num workers - hired,Production,Sales,Sales price per unit,Stock - starting (units),Resources stock - start (units),Resources consumed (units),Resources stock - end (units),Resources consumed (dollars),Wages,Profit,Resources bought - units,Resources bought - dollars,Resources spot price,Cash - start,Cash - end
25,110,117,7,5500,2187464.3874643887,397.7207977207979,0,0,0,0,0.0,495000,1692464.3874643887,,,,25721643.054545384,27414107.442009773
26,117,124,7,5850,1754633.917396746,299.9374217772216,0,0,0,0,0.0,526500,1228133.917396746,,,,27414107.442009773,28642241.35940652
27,124,132,8,6200,1160064.6950092423,187.10720887245844,0,0,0,0,0.0,558000,602064.6950092423,,,,28642241.35940652,29244306.054415762
28,132,140,8,6600,1678063.3147113607,254.2520173805092,0,0,0,0,0.0,594000,1084063.3147113607,,,,29244306.054415762,30328369.369127125
29,140,149,9,7000,2459983.7000815007,351.42624286878583,0,0,0,0,0.0,630000,1829983.7000815007,,,,30328369.369127125,32158353.069208626
30,149,158,9,7450,2514858.9458054956,337.5649591685229,0,0,0,0,0.0,670500,1844358.9458054956,,,,32158353.069208626,34002712.01501412
31,158,168,10,7900,2840033.921302578,359.49796472184534,0,0,0,0,0.0,711000,2129033.921302578,,,,34002712.01501412,36131745.9363167
32,168,179,11,8400,3195714.730613517,380.4422298349425,0,0,0,0,0.0,756000,2439714.730613517,,,,36131745.9363167,38571460.66693021
33,179,190,11,8950,3567943.5368300383,398.652909143021,0,0,0,0,0.0,805500,2762443.5368300383,,,,38571460.66693021,41333904.20376025
34,190,202,12,9500,3362618.796198522,353.959873284055,0,0,0,0,0.0,855000,2507618.796198522,,,,41333904.20376025,43841522.999958776
35,202,215,13,10100,3268530.3436509883,323.6168657080186,0,0,0,0,0.0,909000,2359530.3436509883,,,,43841522.999958776,46201053.343609765
36,215,229,14,10750,3137718.396711203,291.8807810894142,0,0,0,0,0.0,967500,2170218.396711203,,,,46201053.343609765,48371271.740320966
37,229,244,15,11450,3028066.202090593,264.4599303135889,0,0,0,0,0.0,1030500,1997566.202090593,,,,48371271.740320966,50368837.94241156
38,244,260,16,12200,2671518.4235389396,218.97691996220817,0,0,0,0,0.0,1098000,1573518.4235389396,,,,50368837.94241156,51942356.365950495
39,260,277,17,13000,2420208.31096317,186.16987007409,0,0,0,0,0.0,1170000,1250208.3109631701,,,,51942356.365950495,53192564.676913664
40,277,295,18,13850,2245474.273713685,162.12810640532024,0,0,0,0,0.0,1246500,998974.2737136851,,,,53192564.676913664,54191538.95062735
41,295,314,19,14750,2120145.1905626133,143.73865698729583,0,0,0,0,0.0,1327500,792645.1905626133,,,,54191538.95062735,54984184.14118996
42,314,334,20,15700,2164704.567230916,137.87927179814753,0,0,0,0,0.0,1413000,751704.5672309161,,,,54984184.14118996,55735888.70842088
43,334,356,22,16700,2224494.0324678994,133.20323547711973,0,0,0,0,0.0,1503000,721494.0324678994,,,,55735888.70842088,56457382.74088878
44,356,379,23,17800,2366961.125397065,132.97534412343063,0,0,0,0,0.0,1602000,764961.1253970652,,,,56457382.74088878,57222343.866285846
45,379,404,25,18950,2529266.5882672216,133.47053236238636,0,0,0,0,0.0,1705500,823766.5882672216,,,,57222343.866285846,58046110.45455307
46,404,430,26,20200,2711639.832062936,134.23959564668,0,0,0,0,0.0,1818000,893639.8320629359,,,,58046110.45455307,58939750.286616005
47,430,458,28,21500,2907438.610721923,135.22970282427548,0,0,0,0,0.0,1935000,972438.610721923,,,,58939750.286616005,59912188.89733793
48,458,488,30,22900,3068609.1961716088,134.00040157954624,0,0,0,0,0.0,2061000,1007609.1961716088,,,,59912188.89733793,60919798.09350954
49,488,520,32,24400,3244166.9204995427,132.95766067621076,0,0,0,0,0.0,2196000,1048166.9204995427,,,,60919798.09350954,61967965.01400908
50,520,554,34,26000,3434417.9320318145,132.09299738583903,0,0,0,0,0.0,2340000,1094417.9320318145,,,,61967965.01400908,63062382.9460409
