Period,Num workers - start,Num workers - end,Num workers - hired,Production,Sales,Sales price per unit,Stock - starting (units),Resources stock - start (units),Resources consumed (units),Resources stock - end (units),Resources consumed (dollars),Wages,Profit,Resources bought - units,Resources bought - dollars,Resources spot price,Cash - start,Cash - end
22,35,31,-4,1.75,358606.5573770491,204918.03278688522,0.0,3181.8181818181824,795.4545454545454,2386.363636363637,433040.5237424385,157500,-231933.9663653894,0.0,0.0,544.3938012762085,672061.4046888971,873167.9620659462
23,31,27,-4,1.55,343214.2857142857,221428.5714285714,0.0,2386.363636363637,704.5454545454545,1681.8181818181824,431784.79004925356,139500,-228070.50433496787,0.0,0.0,612.8558310376502,873167.9620659462,1076882.2477802318
24,27,24,-3,1.35,294409.59409594093,218081.18081180807,0.0,1681.8181818181824,613.6363636363636,1681.8181818181824,418246.0429269915,121500,-245336.44883105054,613.6363636363636,418246.0429269915,681.5861440291714,1076882.2477802318,831545.7989491812
25,24,21,-3,1.2000000000000002,281344.53781512607,234453.781512605,0.0,1681.8181818181824,545.4545454545455,1681.8181818181824,216938.61693861705,108000,-43594.079123490985,545.4545454545455,216938.61693861705,397.7207977207979,831545.7989491812,787951.7198256901
26,21,22,1,1.05,281732.6732673266,268316.8316831682,0.0,1681.8181818181824,477.27272727272725,1909.090909090909,143151.95130276485,94500,44080.72196456176,704.5454545454538,211319.54716122407,299.9374217772216,787951.7198256901,763864.8459317926
27,22,23,1,1.1,339447.852760736,308588.95705521456,0.0,1909.090909090909,500.0,2000.0,93553.60443622922,99000,146894.2483245068,590.909090909091,110563.35069736182,187.10720887245844,763864.8459317926,893749.3479951667
28,23,24,1,1.1500000000000001,368793.1034482757,320689.6551724136,0.0,2000.0,522.7272727272727,2090.909090909091,132904.4636307207,103500,132388.639817555,613.6363636363637,156018.2833925852,254.2520173805092,893749.3479951667,1003024.1680508571
29,24,25,1,1.2000000000000002,475555.5555555552,396296.29629629594,0.0,2090.909090909091,545.4545454545455,2181.818181818182,191687.04156479228,108000,175868.51399076293,636.3636363636365,223634.88182559103,351.42624286878583,1003024.1680508571,1146944.8417808213
30,25,26,1,1.25,715277.7777777768,572222.2222222214,0.0,2181.818181818182,568.1818181818181,2272.7272727272725,191798.27225484254,112500,410979.50552293425,659.0909090909086,222485.99581561718,337.5649591685229,1146944.8417808213,1527236.6237429809
31,26,27,1,1.3,910000.0,700000.0,0.0,2272.7272727272725,590.9090909090909,2363.6363636363635,212430.61551745405,117000,580569.384482546,681.818181818182,245112.2486739855,359.49796472184534,1527236.6237429809,2075124.3750689954
32,27,28,1,1.35,945000.0000000001,700000.0,0.0,2363.6363636363635,613.6363636363636,2454.5454545454545,233453.1864896238,121500,590046.8135103763,704.5454545454545,268038.84374734585,380.4422298349425,2075124.3750689954,2630585.53132165
33,28,29,1,1.4000000000000001,980000.0000000001,700000.0,0.0,2454.5454545454545,636.3636363636364,2545.4545454545455,253688.2149091952,126000,600311.7850908049,727.2727272727275,289929.38846765173,398.652909143021,2630585.53132165,3194656.142853998
34,29,30,1,1.4500000000000002,1015000.0000000001,700000.0,0.0,2545.4545454545455,659.0909090909091,2636.3636363636365,233291.7346644908,130500,651208.2653355093,750.0,265469.90496304125,353.959873284055,3194656.142853998,3813686.2378909574
35,30,32,2,1.5,770689.6551724129,513793.10344827524,0.0,2636.3636363636365,681.8181818181818,2727.272727272727,220647.86298273996,135000,415041.79218967294,772.7272727272723,250067.57804710517,323.6168657080186,3813686.2378909574,4199308.315016265
36,32,34,2,1.6,652307.6923076918,407692.30769230734,0.0,2727.272727272727,727.2727272727273,2909.090909090909,212276.93170139214,144000,296030.7606062996,909.0909090909092,265346.1646267402,291.8807810894142,4199308.315016265,4442269.842697217
37,34,36,2,1.7000000000000002,580738.2550335567,341610.7382550333,0.0,2909.090909090909,772.7272727272727,3090.909090909091,204355.40069686418,153000,223382.85433669254,954.545454545455,252439.0243902441,264.4599303135889,4442269.842697217,4617569.07334053
38,36,38,2,1.8,534098.3606557375,296721.3114754097,0.0,3090.909090909091,818.1818181818181,3272.7272727272725,179162.93451453396,162000,192935.4261412035,999.9999999999995,218976.91996220808,218.97691996220817,4617569.07334053,4770690.514034059
39,38,40,2,1.9000000000000001,502328.7671232875,264383.5616438355,0.0,3272.7272727272725,863.6363636363636,3454.5454545454545,160783.06960944136,171000,170545.69751384613,1045.4545454545455,194632.13689563956,186.16987007409,4770690.514034059,4907387.144261707
40,40,42,2,2.0,480155.6420233462,240077.8210116731,0.0,3454.5454545454545,909.090909090909,3636.363636363636,147389.1876412002,180000,152766.454382146,1090.9090909090905,176867.0251694402,162.12810640532024,4907387.144261707,5030675.761115612
41,42,44,2,2.1,464545.4545454545,221212.12121212116,0.0,3636.363636363636,954.5454545454545,3818.181818181818,137205.08166969146,189000,138340.37287576302,1136.3636363636365,163339.38294010892,143.73865698729583,5030675.761115612,5142881.832720958
42,44,46,2,2.2,453628.31858407083,206194.69026548672,0.0,3818.181818181818,1000.0,4000.0,137879.27179814753,198000,117749.0467859233,1181.818181818182,162948.23030690165,137.87927179814753,5142881.832720958,5235561.920998126
43,46,49,3,2.3000000000000003,446187.9895561358,193994.7780678851,0.0,4000.0,1045.4545454545455,4181.818181818182,139257.927998807,207000,99930.0615573288,1227.2727272727275,163476.69808555607,133.20323547711973,5235561.920998126,5311273.212468706
44,49,52,3,2.45,450594.40559440554,183916.08391608388,0.0,4181.818181818182,1113.6363636363637,4454.545454545455,148086.17868291138,220500,82008.22691149416,1386.363636363637,184352.18162566528,132.97534412343063,5311273.212468706,5357015.436437447
45,52,55,3,2.6,455815.8995815899,175313.80753138073,0.0,4454.545454545455,1181.8181818181818,4727.272727272727,157737.90188282024,234000,64077.99769876967,1454.545454545454,194138.956163471,133.47053236238636,5357015.436437447,5384692.379855566
46,55,58,3,2.75,461792.4528301886,167924.52830188678,0.0,4727.272727272727,1250.0,5000.0,167799.49455834998,247500,46492.95827183864,1522.727272727273,204410.29337108092,134.23959564668,5384692.379855566,5394574.539314673
47,58,61,3,2.9000000000000004,468461.5384615385,161538.46153846153,0.0,5000.0,1318.1818181818182,5272.727272727273,178257.3355410904,261000,29204.202920448093,1590.909090909091,215138.16358407465,135.22970282427548,5394574.539314673,5386897.914192137
48,61,65,4,3.0500000000000003,475762.0528771384,155987.55832037324,0.0,5272.727272727273,1386.3636363636365,5545.454545454546,185773.2840080073,274500,15488.768869131134,1659.0909090909095,222318.8480751563,134.00040157954624,5386897.914192137,5365841.11899412
49,65,65,0,3.25,491193.18181818177,151136.36363636362,0.0,5545.454545454546,1477.2727272727273,5909.090909090909,196414.72599894772,292500,2278.4558192340482,1840.90909090909,244762.96624484242,132.95766067621076,5365841.11899412,5319771.334567458
50,65,65,0,3.25,477145.64369310794,146814.044213264,0.0,5909.090909090909,1477.2727272727273,5909.090909090909,195137.38250180765,292500,-10491.738808699709,1477.272727272727,195137.38250180762,132.09299738583903,5319771.334567458,5309279.5957587585
